current_code_in_force,climate_zone,current_code_window,u_val,shgc,vlt
ComStock 90.1-2004,ASHRAE 169-2013-1A,Single - No LowE - Tinted/Reflective - Aluminum,1.01,0.579,0.455
ComStock 90.1-2004,ASHRAE 169-2013-1B,Single - No LowE - Tinted/Reflective - Aluminum,1.01,0.579,0.455
ComStock 90.1-2004,ASHRAE 169-2013-2A,Single - No LowE - Tinted/Reflective - Aluminum,1.01,0.579,0.455
ComStock 90.1-2004,ASHRAE 169-2013-2B,Single - No LowE - Tinted/Reflective - Aluminum,1.01,0.579,0.455
ComStock 90.1-2004,ASHRAE 169-2013-3A,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-3B,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-3C,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-4A,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-4B,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-4C,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-5A,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-5B,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-6A,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-6B,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-7A,Double - LowE - Clear - Aluminum,0.559,0.386,0.591
ComStock 90.1-2004,ASHRAE 169-2013-8A,Triple - LowE - Clear - Thermally Broken Aluminum,0.3,0.328,0.527
ComStock 90.1-2007,ASHRAE 169-2013-1A,Single - No LowE - Tinted/Reflective - Aluminum,1.01,0.579,0.455
ComStock 90.1-2007,ASHRAE 169-2013-1B,Single - No LowE - Tinted/Reflective - Aluminum,1.01,0.579,0.455
ComStock 90.1-2007,ASHRAE 169-2013-2A,Double - No LowE - Tinted/Reflective – Aluminum,0.749,0.484,0.411
ComStock 90.1-2007,ASHRAE 169-2013-2B,Double - No LowE - Tinted/Reflective – Aluminum,0.749,0.484,0.411
ComStock 90.1-2007,ASHRAE 169-2013-3A,Double - LowE - Tinted/Reflective - Aluminum,0.557,0.274,0.359
ComStock 90.1-2007,ASHRAE 169-2013-3B,Double - LowE - Tinted/Reflective - Aluminum,0.557,0.274,0.359
ComStock 90.1-2007,ASHRAE 169-2013-3C,Double - LowE - Tinted/Reflective - Aluminum,0.557,0.274,0.359
ComStock 90.1-2007,ASHRAE 169-2013-4A,Double - LowE - Clear - Thermally Broken Aluminum,0.499,0.378,0.591
ComStock 90.1-2007,ASHRAE 169-2013-4B,Double - LowE - Clear - Thermally Broken Aluminum,0.499,0.378,0.591
